country	perCapita
OMN	2902.071563
SAU	2260.934125
ISR	2036.844111
USA	2022.732084
SGP	1796.906647
KWT	1494.858612
NOR	1420.29839
BHR	1052.810903
AUS	1033.199672
BRN	1014.778325
FRA	961.1327389
GBR	907.980175
DNK	814.3444822
SWE	676.5957447
KOR	675.5513974
CHE	627.7018634
RUS	621.0239043
NLD	614.7619048
FIN	598.4223078
DEU	596.7903711
LUX	557.5868373
ITA	535.3869862
GRC	527.6297086
CAN	524.7
CYP	516.4585698
LBN	476.6125062
BEL	472.4041999
PRT	450.7679261
TWN	449.8654249
NZL	409.5174263
JPN	381.6838253
AUT	380.7166431
AZE	369.5348587
EST	357.5
CHL	309.5631372
URY	307.1933962
AGO	292.7473583
ESP	276.9160683
COL	275.7735785
DZA	273.3268518
SVN	264.4347404
IRL	259.4840668
TUR	249.5293133
POL	240.1670818
IRQ	227.0531401
HRV	217.4011813
CZE	204.1417308
ECU	188.7033796
SVK	183.8017751
JOR	182.7628362
NAM	182.1527139
VEN	177.1885943
GAB	162.5079974
KAZ	162.4
MYS	161.6316721
BRA	157.3736373
LVA	146.8565815
BWA	143.3381433
MLT	142.6858513
SYC	140.8602151
CHN	138.4961345
ARM	129.9056891
SRB	126.8769803
MAR	123.7025538
HUN	122.0742534
LTU	118.8085676
ROU	118.3790383
UKR	117.439993
BGR	115.6500138
MNE	111.5569823
ARG	108.7197532
BLR	103.330121
SWZ	102
GEO	98.79571811
PER	92.58062431
LKA	87.6
TUN	86.82908958
THA	86.4
ZAF	79.47993654
PRY	70.22968198
MEX	66.3
MKD	61.32303235
FJI	60.0
YEM	53.11327832
BIH	52.3465704
ALB	51.2
EGY	50.56446821
BLZ	47.9
JAM	43.8
GUY	42.67352185
SLV	42.1
PAK	41.8
KGZ	41.5
BOL	40.31892724
MRT	40.1
AFG	39.2
IND	38.1
VNM	37.8
DOM	35.6
PHL	35.6161011
IDN	31.6
HND	28.4
ZWE	27.1
ZMB	25.9
LSO	25.2
TLS	24.6
KEN	19.9
CPV	18.8
MUS	18.5
CMR	17.9
SEN	17.6
GTM	16.7
KHM	15.8
NGA	14.2
NIC	13.9
UGA	12.6
PNG	12.5
GHA	12.0
BGD	11.7
NPL	9.2
BFA	9.2
MLI	9.1
BEN	8.3
TZA	8.2
RWA	7.7
MDA	6.9
BDI	6.8
COG	5.6
SLE	4.8
ETH	4.2
LBR	3.5
MWI	3.0
MDG	2.4
CRI	0
HTI	0.0
PAN	0.0
